,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,Kotlin
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,autotrail,Python
46,aws-apigateway-client-lib,
47,aws-sigv4-signing-samples,Java
48,awsssmchaosrunner,Kotlin
49,basis-point-sets,Python
50,buy-with-prime-automate-tenant-validation,JavaScript
51,buy-with-prime-cdk-constructs,TypeScript
52,buy-with-prime-event-accelerator,Python
53,buy-with-prime-oauth-handler-ec2,JavaScript
54,buy-with-prime-saas-integration,TypeScript
55,chalet-charging-location-for-electric-trucks,Python
56,computer-vision-basics-in-microsoft-excel,
57,confident-sinkhorn-allocation,Jupyter Notebook
58,convolutional-handwriting-gan,Python
59,cosearcher,Python
60,credence-to-causal-estimation,Python
61,data-jack-knife,Java
62,debiased-balanced-interleaving,Jupyter Notebook
63,differential-privacy-bayesian-optimization,Python
64,distance-assistant,Python
65,drs-sample-android-app,Java
66,drs-sample-ios-app,Objective-C
67,emukit-playground,JavaScript
68,eslint-plugin-no-date-parsing,TypeScript
69,exoplayer-amazon-port,Java
70,explainable-text-vqa,
71,faithful-data2text-cycle-training,Python
72,fashion-attribute-disentanglement,Python
73,fire-app-builder,Java
74,firetv-sample-touch-app,Java
75,ftv-livetv-sample-tv-app,Java
76,gameon-sample-game-unity,C#
77,gameon-starter-kit-unity,C#
78,git-commit-template,JavaScript
79,glad,JavaScript
80,golang-gitoperations,Go
81,halo-third-party-sdk-for-java,Java
82,halo-third-party-sdk-for-node-js,TypeScript
83,halo-third-party-sdk-for-python,Python
84,hawktracer,C++
85,image-misspell-coling2020,
86,image-to-recipe-transformers,Python
87,ion-object-mapper-dotnet,C#
88,jekyll-doc-project,HTML
89,kqr,
90,login-with-amazon-oscommerce,PHP
91,login-with-amazon-wordpress,PHP
92,merlin-on-demand-callgraph,JavaScript
93,metalearn-leap,Python
94,milan,Scala
95,multiconer-baseline,Python
96,multilingual-keyphrase-generation,Python
97,multimodal-affinities,Python
98,MXFusion,Python
99,nimbus-jose-jwt_aws-kms-extension,Java
100,node-jose_aws-kms-extension,TypeScript
101,openapi-swift-code-generate,Swift
102,orthogonal-additive-gaussian-processes,Python
103,oss-attribution-builder,TypeScript
104,oss-contribution-tracker,TypeScript
105,oss-dashboard,Ruby
106,pecos,Python
107,pretraining-or-self-training,Python
108,python-jose_aws-kms-extension,Python
109,rdma-core,C
110,refuel-open-domain-qa,Python
111,rete-thewebconf-2022,Python
112,rheoceros,Python
113,robotiq-gripper-interface,C++
114,sample-fire-tv-app-video-skill,Java
115,selling-partner-api-docs,HTML
116,selling-partner-api-models,Java
117,selling-partner-api-samples,Java
118,seqzero,Python
119,service-model-swift-code-generate,Swift
120,sketch-constructor,JavaScript
121,smoke-aws,Swift
122,smoke-aws-credentials,Swift
123,smoke-aws-generate,Swift
124,smoke-aws-support,Swift
125,smoke-dynamodb,Swift
126,smoke-framework,Swift
127,smoke-framework-application-generate,Swift
128,smoke-framework-examples,Swift
129,smoke-http,Swift
130,sparse-vqvae,Python
131,ss-aga-kgc,Python
132,sto-transformer,Python
133,style-dictionary,JavaScript
134,supply-chain-simulation-environment,Python
135,tiny-attribution-generator,TypeScript
136,trans-encoder,Python
137,user-satisfaction-modeling,Python
138,workspace-resolver,JavaScript
139,xfer,Python
140,zeek-plugin-bacnet,Zeek
141,zeek-plugin-enip,Zeek
142,zeek-plugin-profinet,Zeek
143,zeek-plugin-s7comm,Zeek
144,zeek-plugin-tds,Zeek
145,zero-shot-rlhr,Python
